Postal code,Refnis code,Gemeentenaam,Nom commune
1000,21004,Brussel,Bruxelles
1020,21004,Brussel,Bruxelles
1030,21015,Schaarbeek,Schaerbeek
1040,21004,Brussel,Bruxelles
1040,21005,Etterbeek,Etterbeek
1050,21004,Brussel,Bruxelles
1050,21009,Elsene,Ixelles
1060,21013,Sint-Gillis,Saint-Gilles
1070,21001,Anderlecht,Anderlecht
1080,21012,Sint-Jans-Molenbeek,Molenbeek-Saint-Jean
1081,21011,Koekelberg,Koekelberg
1082,21003,Sint-Agatha-Berchem,Berchem-Sainte-Agathe
1083,21008,Ganshoren,Ganshoren
1090,21010,Jette,Jette
1120,21004,Brussel,Bruxelles
1130,21004,Brussel,Bruxelles
1140,21006,Evere,Evere
1150,21019,Sint-Pieters-Woluwe,Woluwe-Saint-Pierre
1160,21002,Oudergem,Auderghem
1170,21017,Watermaal-Bosvoorde,Watermael-Boitsfort
1180,21016,Ukkel,Uccle
1190,21007,Vorst,Forest
1200,21018,Sint-Lambrechts-Woluwe,Woluwe-Saint-Lambert
1210,21014,Sint-Joost-ten-Node,Saint-Josse-ten-Noode
1300,25112,Waver,Wavre
1301,25112,Waver,Wavre
1310,25050,Terhulpen,La Hulpe
1315,25043,Incourt,Incourt
1320,25005,Bevekom,Beauvechain
1325,25018,Chaumont-Gistoux,Chaumont-Gistoux
1330,25091,Rixensart,Rixensart
1331,25091,Rixensart,Rixensart
1332,25091,Rixensart,Rixensart
1340,25121,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve
1341,25121,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve
1342,25121,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve
1348,25121,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve
1350,25120,Orp-Jauche,Orp-Jauche
1357,25118,Hélécine,Hélécine
1360,25084,Perwijs,Perwez
1367,25122,Ramillies,Ramillies
1370,25048,Geldenaken,Jodoigne
1380,25119,Lasne,Lasne
1390,25037,Graven,Grez-Doiceau
1400,25072,Nijvel,Nivelles
1401,25072,Nijvel,Nivelles
1402,25072,Nijvel,Nivelles
1404,25072,Nijvel,Nivelles
1410,25110,Waterloo,Waterloo
1420,25014,Eigenbrakel,Braine-l’Alleud
1421,25014,Eigenbrakel,Braine-l’Alleud
1428,25014,Eigenbrakel,Braine-l’Alleud
1430,25123,Rebecq,Rebecq
1435,25068,Mont-Saint-Guibert,Mont-Saint-Guibert
1440,25015,Kasteelbrakel,Braine-le-Château
1450,25117,Chastre,Chastre
1457,25124,Walhain,Walhain
1460,25044,Itter,Ittre
1461,25044,Itter,Ittre
1470,25031,Genepiën,Genappe
1471,25031,Genepiën,Genappe
1472,25031,Genepiën,Genappe
1473,25031,Genepiën,Genappe
1474,25031,Genepiën,Genappe
1476,25031,Genepiën,Genappe
1480,25105,Tubeke,Tubize
1490,25023,Court-Saint-Etienne,Court-Saint-Etienne
1495,25107,Villers-la-Ville,Villers-la-Ville
1500,23027,Halle,Hal
