,Real values,Predicted values
601,349000,331382.9981464724
509,344999,367552.8629799612
6379,349000,325516.7049062813
8290,115000,-6012.234685713134
3198,309000,168952.2395995651
11041,699000,609347.0879981408
5604,398000,407456.6995589359
2508,159000,232289.23950759086
4221,480000,279976.47928297217
12198,225000,208151.00261879817
9160,275000,220967.0704557448
6539,85000,-86741.35101417667
8898,279000,296041.2694338949
11065,249000,299012.3391868407
3882,205000,155844.69451796362
13176,295000,468953.9940379404
11987,305000,368105.9936475832
1575,399000,344734.7167245028
2135,775000,694290.1945671825
6014,449000,802201.7966855759
1596,280000,466345.05332926125
38,299000,355060.74031986203
7078,429500,472291.783705958
5752,329000,237468.05785996647
581,599000,406407.0240345666
13059,449000,569241.4612534113
828,835000,812735.7086139983
11416,315000,242854.99696990705
11956,235000,180332.62627097976
1138,1190000,1092966.0295417935
3348,219000,175802.96201250865
2711,750000,839186.355852169
5290,810000,743712.1688139748
427,440000,396441.952957066
12790,400000,329009.77283237735
8486,374000,443660.38322538836
11259,299000,315557.1053919182
7177,249000,305564.4976363062
4600,298000,323713.3498868594
5193,309000,319590.860252965
5666,895000,981330.8839233639
6313,180000,120555.35240673285
4991,349000,327441.0387825831
8756,185000,354129.2880108709
4039,295000,262686.06547297677
5306,299000,210257.4240442554
10136,235000,255126.75743454602
8445,270000,322762.1116759934
6088,2250000,1334984.363225907
403,379000,205022.0618980903
6684,695000,678564.7289210097
4750,135000,72386.17716806103
10775,375000,371310.8279651239
8273,219000,150596.9068369221
2829,625000,1004000.6068764969
9502,275000,310166.0451125166
13134,240000,279152.9345983928
7928,399000,384422.5690776726
45,299000,237931.3872886267
8210,189000,181283.20086414937
4127,650000,801331.1992448533
10827,345000,436704.60530084814
11583,375000,442832.804859291
418,350000,329323.00923571875
5192,299000,299346.9941084154
6621,159000,330988.5777480948
10487,295000,434796.9632280173
656,292000,255242.97953745967
12060,375000,351040.9464868706
12245,315000,313073.73987962806
13163,275000,293976.8822849471
40,345000,385445.079753791
123,189000,375789.9130921132
2030,749000,794246.8258159854
1419,1530000,1201314.7617147882
10309,325000,268455.4827825293
1872,1675000,1389296.5292126178
13283,217500,190597.92720660788
3993,169000,116836.99478497892
696,1149000,687094.2476189041
3470,1275000,1017553.1323244267
6281,289000,249952.03154007922
8056,335000,289781.5549496582
9082,175000,265010.34286123805
8309,256000,338639.1456097909
11652,425000,269570.4080969321
3932,299000,503733.7595156983
9676,230000,204894.02151239762
11243,470000,369349.8827040205
11676,219000,310602.14408048627
2519,230000,211306.8895824881
1220,219000,234647.7411797232
4330,229000,207375.59526318032
1695,140000,175202.63395532098
11900,535000,578493.6941488974
7220,356068,408307.1421410073
5693,2150000,1461453.4585660158
9831,575000,467809.3898376507
9735,279000,324742.9558527975
2221,333000,566800.9706481248
522,395000,346176.26849459426
2150,475000,632944.8281331342
3159,1150000,982592.9922203012
7481,519000,493635.359224554
6461,578000,711648.4091938189
9708,265000,252265.26393290117
2130,175000,126786.99758465972
3643,349000,338036.0179000405
896,499000,513884.468067574
2917,155000,110633.57627928688
1083,360000,436961.92681233503
10598,475000,491616.6768000801
8092,415000,363650.00960456405
5271,639000,735316.8411709811
4299,425000,298777.4364212572
12801,725000,437288.3256096907
10421,649000,468900.17501758144
7301,1650000,1186486.1625932695
619,349000,345304.6815018787
3893,280000,161076.4641901771
2047,679000,597376.9545400852
6229,299000,252927.6676664717
5036,246000,479426.9993812727
352,299000,297250.0638683664
12626,925000,667856.0439518862
9570,275000,413033.53843555634
8085,399000,620583.0414989513
3171,549000,545451.6340680873
12096,229000,348684.4169185578
5565,309000,458951.7101598307
9203,1695000,748934.77996656
6437,469000,554160.8560821611
8612,799000,787427.3888475157
8567,560000,636537.5171541919
10718,660000,638844.029448537
2426,295000,136008.96738798718
9005,669000,598353.9688894402
9258,195000,224882.34632873646
291,269000,254801.0425466715
4020,230000,254263.83143476915
1291,365000,407401.71794108604
7114,1495000,1141561.7502313317
2400,799000,813346.1254330289
5712,464000,420961.89023317304
2538,310000,333148.45505924395
1404,429000,345240.88961823087
1206,155000,84315.58547701978
6502,1175000,890906.5923804449
3760,585000,1151801.3165135465
2098,458000,495133.5496611342
10431,225000,395811.7613350556
6329,245000,219970.80271657722
6080,1150000,1437706.8320384428
1024,420000,463310.50430739677
4207,350000,235326.89400547105
2118,438000,586757.6088508833
2111,280000,440892.77552213223
7839,489000,456869.8182179882
10977,215000,208075.02694625402
2124,295000,382967.77934966836
369,1350000,1042774.1721083615
1113,1395000,1030756.8054261317
2916,1050000,619436.8940054083
5064,299000,334947.94057834375
12213,249000,280436.1258300764
12938,595000,516766.59689334955
4701,479000,548890.6935196475
9208,225000,210454.75815715562
4394,250000,226708.22694401586
3031,389000,493582.37560563046
6220,239000,376779.5921354073
12460,295000,306838.0343762876
12490,325000,364769.1534453592
7033,199000,277677.56411229825
1437,155000,143295.27479321533
3111,525000,575904.4291099777
7619,340000,381138.2673027772
11198,450000,346394.58380494174
12543,275000,295686.50135447097
159,495000,523601.14465746086
8989,545000,727273.9599027878
3098,399000,545261.9295895754
2814,429000,482996.2248632146
2923,2265000,1294972.3324987406
2984,350000,418634.59735591564
12660,220000,294112.13939732185
5821,199000,266747.07153774536
12220,260000,424569.88125450053
490,220000,141715.25033356634
12692,475000,408849.53539030626
3577,288000,341331.9886525647
9801,295000,378750.0662871004
4425,349000,364385.1210709813
3866,649000,505348.6465700673
1528,349000,540873.7703931408
8728,419000,346163.35802062147
8381,130000,4245.570296020131
6752,199000,231711.05909882276
9603,235000,157254.3642993858
5819,185000,257666.26955393562
12083,315000,256618.9009668907
9235,165000,111689.23428027757
1294,690000,736748.2115821426
12860,269000,322637.61225875025
10650,225000,304152.88236095966
12145,595000,660893.3394226904
4132,725000,466525.5221305286
12777,315000,348960.59516993526
2832,650000,427515.7893501056
2852,199000,349235.4265995595
4287,295000,361387.9488093883
3611,319000,492570.86155009153
6726,89000,70833.40124924132
1300,205000,175532.07518235297
10205,685000,677417.2476574181
13377,309000,222373.09410362484
11268,375000,377654.43174616306
5318,189000,175530.9349278789
6533,1595000,1816792.0625568908
11667,259000,348718.2366532212
5747,160000,225918.2442502313
12697,234000,297214.1598629671
11762,280000,296007.8769467681
685,495000,726025.868438736
4025,249000,228513.19883979045
1646,419000,578407.3876163847
12942,645000,301068.5572693852
10909,535000,551404.3226053361
7022,495000,771908.3025069545
2106,1375000,1131485.5390737068
634,395000,392866.5671450826
665,179000,185234.8855896105
11426,270000,277237.0005660176
544,139000,127399.9334996707
5975,289000,311124.4080213156
13236,595000,395323.09912564803
2570,675000,973497.1541240402
10156,299000,284232.9206426452
3997,175000,29518.51228433411
1743,449000,567554.3751605161
3099,399000,451685.98844154394
12132,495000,631685.541503646
8285,451200,360858.41264569137
4605,300000,326449.04143407097
8289,109000,176491.0488536359
9157,259000,379514.56983709213
8060,344000,477312.2589889114
11703,219000,268580.2080834027
3257,479000,828882.4835956818
3,190000,219431.35818492336
11863,249000,261853.5741358084
10907,435000,400561.59316981456
6137,470000,618208.1843576358
3935,329000,471283.18980429904
9595,269500,225151.86885101753
10657,289000,345623.9229430898
857,329000,450606.1623821454
12030,750000,419648.6598591302
5811,149000,162449.4653278914
7056,349000,414264.68443158065
4215,249000,281924.6139164525
12255,339000,458984.64538576966
11315,475000,466283.4580809927
4296,409000,517068.31350905576
12798,550000,617954.0662840455
11998,378000,363385.5933318081
1367,499000,315636.5791385679
7704,1250000,909606.2405329128
4075,395000,219611.6016862913
5421,265000,259090.45314783847
1869,789000,843795.2531283938
7731,1690000,1084206.643480475
3945,595000,383326.2464196911
6747,199000,108415.9939694751
2207,650000,627361.2270777764
6833,398000,398174.0441398165
5015,395000,621292.348575155
3969,159000,64389.37008479994
6371,328500,529302.6835316326
10066,325000,223123.187745927
8679,425000,347733.78410000855
11478,227000,232714.25657331562
5749,929000,743529.7949221609
4819,329000,459240.59839910123
2910,270000,325622.9805171279
11434,350000,407337.17869151814
7972,175000,309931.0092680948
2323,399000,327604.4887714567
10379,250000,273426.14424247993
11241,299000,310365.9056801727
11381,500000,623523.177528532
12068,398000,306862.16058575106
5936,179000,128250.15435007674
