code-ins,locality,men,women,total
1000,Belgique,5 797 225,5 966 425,11 763 650
2000,Région flamande,3 377 519,3 444 251,6 821 770
3000,Région wallonne,1 807 507,1 884 776,3 692 283
4000,Région de Bruxelles-Capitale,612 199,637 398,1 249 597
10000,Province d’Anvers,955 926,970 596,1 926 522
11000,Arrondissement d’Anvers,538 894,548 355,1 087 249
11001,Aartselaar,7 393,7 497,14 890
11002,Anvers,273 023,271 736,544 759
11004,Boechout,6 738,7 093,13 831
11005,Boom,9 677,9 754,19 431
11007,Borsbeek,5 555,5 824,11 379
11008,Brasschaat,18 386,20 084,38 470
11009,Brecht,15 259,15 351,30 610
11013,Edegem,11 125,11 884,23 009
11016,Essen,9 787,9 843,19 630
11018,Hemiksem,6 152,6 244,12 396
11021,Hove,4 019,4 387,8 406
11022,Kalmthout,9 599,10 073,19 672
11023,Kapellen,13 608,14 174,27 782
11024,Kontich,10 589,11 104,21 693
11025,Lint,4 212,4 293,8 505
11029,Mortsel,12 886,13 702,26 588
11030,Niel,5 433,5 533,10 966
11035,Ranst,9 819,9 957,19 776
11037,Rumst,7 717,7 819,15 536
11038,Schelle,4 170,4 444,8 614
11039,Schilde,9 859,10 460,20 319
11040,Schoten,16 741,17 900,34 641
11044,Stabroek,9 355,9 471,18 826
11050,Wijnegem,5 098,5 482,10 580
11052,Wommelgem,6 561,6 809,13 370
11053,Wuustwezel,10 850,10 944,21 794
11054,Zandhoven,6 686,6 759,13 445
11055,Zoersel,10 985,11 572,22 557
11056,Zwijndrecht,9 601,9 979,19 580
11057,Malle,8 011,8 183,16 194
12000,Arrondissement de Malines,176 752,182 547,359 299
12002,Berlaar,5 961,6 100,12 061
12005,Bonheiden,7 562,7 892,15 454
12007,Bornem,10 862,11 214,22 076
12009,Duffel,8 900,9 162,18 062
12014,Heist-op-den-Berg,21 963,22 542,44 505
12021,Lierre,18 588,19 622,38 210
12025,Malines,43 840,45 473,89 313
12026,Nijlen,11 679,12 028,23 707
12029,Putte,9 368,9 546,18 914
12035,Sint-Katelijne-Waver,10 726,11 066,21 792
12040,Willebroek,13 997,14 251,28 248
12041,Puurs-Sint-Amands,13 306,13 651,26 957
13000,Arrondissement de Turnhout,240 280,239 694,479 974
13001,Arendonk,6 702,6 689,13 391
13002,Baerle-Duc,1 517,1 484,3 001
13003,Balen,11 756,11 767,23 523
13004,Beerse,9 245,9 356,18 601
13006,Dessel,4 939,4 953,9 892
13008,Geel,21 350,20 981,42 331
