Nom,Commune,Revenu
Sint-Martens-Latem,6da640814defe31fa2565b1e8ef74780,32962.0648
Knokke-Heist,b73941f0949eb8e529de011a213c6fad,32644.49713
Keerbergen,a8f25930a66fe71a5925992675509d65,32053.64088
Oud-Heverlee,2b8bc546f7a500972bf7ba835c99e2a8,31232.44685
Hove,534f8c079d9a2406ce91ca0cfd430ec8,30755.38696
De Pinte,5d45f7722b44d301de7ea89fa3e0873e,30605.80373
Lasne,c2b762540d3d943ad3383138dabc1b8f,30396.28887
Schilde,5d1cbef5698f39ad7584d7aaed7c75f2,30096.0705
Attert,b3c8ac8004f272216391133f9700c219,29904.45211
Koksijde,c49d789dff7e74fe1fdc154fe4b122a7,29879.29762
Bonheiden,c38a1265247aed7c69de15d208fb6ef1,29557.95966
Bierbeek,1502265d193314133078ab86a8575a9d,29223.76878
Chaumont-Gistoux,b089eb12c7e9b75420908beaf30346b0,28981.6981
Herent,14248231bc2ece7e8b8296166615f4ac,28872.12851
Rhode-Saint-Genèse,38d2019cc16eb76d13c981ae9266aeee,28609.47438
Lubbeek,e2338a39be41df76f72db7e145d50244,28582.92193
Zemst,c861da9f88c327249155d73b6afeb675,28405.56221
Holsbeek,4a9778ebca7484306cff1d83c2c0d198,28347.61661
Bertem,11ec2dd8624951cca31f6a73760c5f96,28247.85006
Overijse,f58055aea298caf422eb40932aec0d78,28221.58942
Neupré,1af9295ca1197c4041b1362a37e61410,28167.14029
Tervuren,04a7de2afaf62289ff4ce4473aad3fdc,28113.7492
Kapellen,864b83187a00fb062fc626caba9a64fe,27989.69034
Lint,9cb27b4600fff478d2bd97aaa16fc4ce,27879.87028
Rotselaar,a5176b99ebc4f8be806b390d22d7ea8f,27722.78367
Boutersem,a950ec4fa002c7aa372f1d250315428c,27659.05119
Waterloo,f0e3cb6ef3f369ed09074cb01639b989,27615.11046
Kampenhout,c39f007e7975301ede15a7c745ccb99d,27578.83406
Huldenberg,e9f385e6c2f4ca59502ddf62b55dc5ba,27576.89696
Kontich,51dcc8db85c4ca173824019eb9e7cbd2,27536.00753
Destelbergen,0e279243d0f2e9ccd287b5714d3e9956,27485.21237
Meise,8eaff61f37634ddda3612a34222db474,27475.11441
Boortmeerbeek,d4daa5565084f3f92087497a16b97191,27423.16509
Hoeilaart,bb04bef33e7ad8a81c828f148827c37a,27394.23249
Nandrin,cec6ce1a43e8edee7671a6c966fc2d4f,27341.35477
Waasmunster,abf74c0bdfe8b51f65d26729a8bdea0c,27319.98821
Horebeke,9b24b118f8168e3963a263092b67b0f8,27318.29829
Merelbeke,da4fae5700c279f8a9bd0ed832ed699e,27277.11074
Chaudfontaine,3f5de59dc5ed34be174cf8d9a881799b,27244.31274
Haacht,6e0511c292d7ba2a602c6d0e88798a66,27165.24703
Hoegaarden,791ab66a0dd6a83cfd2fbace8658c8f5,27107.95267
Aartselaar,84e0b5237c63f05a5c5cd5e0012a7871,27033.87505
La Hulpe,d3e1b40bc32a053b5ea930d283ebfc94,26969.28432
Boechout,d76ff52562653040983ddf1c514fdf7c,26965.52749
Kortenberg,68cc0b92338dbec44615e755f7044dae,26947.6319
Lennik,431a557c7ea0fcca9f2f72eb39ab8e76,26873.40138
Wezembeek-Oppem,8be8a2c2b934f45d323dfcbd7aa7750d,26822.2615
Rixensart,9af9553b83d76644f85ef1bbdf3cebf2,26798.60087
Grez-Doiceau,08067e406ffb46a0150f672806dead39,26740.96511
Linkebeek,f62ff99f78fdc9655c2e7c7e1c4ab59d,26623.48399
Tremelo,1319ef337d7b6149b18343c1d52ae3d7,26603.47609
Pepingen,39fd055445ff117b639228e9503d9830,26596.71742
Edegem,89f09046b34517d14fc766594ac416af,26579.68068
Oosterzele,df4ecc8dfd2537f2c894a3e627ba795c,26535.27645
Melle,dc2cb25701244a4b923f815effe80e6a,26368.06773
Brasschaat,d0e6a2da53acdb5bb0fd24856e24d424,26355.06284
Zoersel,f0b2688b9f32b70f55ffbc74e4371090,26288.34761
Gavere,a0a16f119a6cf7d166fd5a4394f2158a,26280.11281
Kapelle-op-den-Bos,4d10634f465832f3b418fca27b0dabd9,26261.5921
Olne,3b1d9107c1a3bab32fd3a7ce006f732b,26255.34039
Nazareth,0450ff7961062baf715cb5f1c9e3b6c9,26194.89448
Lochristi,d35b94a1a9a7e5e8c2f23db85d5ea473,26158.7522
Esneux,386561b78146361d42f13e94c36f43ec,26151.09406
Donceel,93be2ce43c733d3481563e447b47d233,26079.20919
Laarne,f92fd47b6b703af4ccc540dd6a46dcd3,26058.6961
Bornem,dd18152a516e7645e8e2175809ccf33d,26058.25247
Glabbeek,df16663ab089218180195d8f0650e4be,26056.46587
Ranst,bea4bc43b02815651718df6f16b119b8,26048.12801
Maarkedal,08ffd1b397bb78a8191bedbb8250832d,26025.25213
Messancy,d9b28aec283cfced4176c353c766f515,26005.45424
Ham-sur-Heure-Nalinnes,08122e8b0d32af68301a666a092f92e3,25983.3697
La Bruyère,8ce368f419933a50ee1d23b979cfb00d,25965.84464
Beauvechain,1eddb9f73beb5bb0970085a3f4a86061,25965.72295
Roosdaal,9dba08372011be5299a4e4137d2d6607,25939.81259
Walhain,cd026e43713e23ba53f649aadb0dcf92,25900.1919
Gooik,5ebdd00942da19e3f6558333d7404bd0,25848.52678
Jabbeke,e15b9e5d45bd7f97dc77d4599742606e,25697.87069
Londerzeel,95a900b5c1c8601eda007f1631b003b3,25663.42863
Puurs-Sint-Amands,5170ed3b76b83219c938d6fa2b3ded51,25661.90488
Kalmthout,b4f700ce8cd366acb8ce87f028c861b6,25632.41232
Schoten,893d0ff1c564e47e683f33d0d8a74333,25612.48908
Wortegem-Petegem,ba4159db239fd80867d03e709959a7ac,25586.70721
De Haan,c4c5189236d36f3b0fa459e8ff7c083c,25573.38996
Stabroek,7ce34eb7d1830876f32e915288546cd0,25523.55768
Steenokkerzeel,252aa6b0ab40fcb6dafe6e34b896b582,25517.77616
Rumst,e9fe6f3101f37b8d7ec62b601eca62d9,25498.78934
Herne,f42bacf2a2a228395b3f075f5dd703c3,25455.87606
Kruisem,60001b1b67554afcb91bc66a9554a9c0,25448.48912
Begijnendijk,ec316ad8f555ce799ae021eee387bedf,25442.92629
Verlaine,8e1dc314494fc7476bbe5b78346cbdaa,25383.65958
Braine-l’Alleud,622eed0bcde808514f87ff27669e6288,25380.11961
Mont-Saint-Guibert,b9a5c7d7001b6a5fc3d3aa0676bcce27,25369.82886
Kraainem,483cecefcbf0ee6315255915e3654b82,25368.95871
Sint-Katelijne-Waver,698a1c027205e882f89d08a7fe163a84,25297.10329
Affligem,d4ee505cadd43cb15584e6e44b7df232,25289.39891
Chastre,15fdc7040d027ea66177ef2c525ebd9a,25277.51781
Lede,c64879a60a36f2956903dbb0ec743057,25273.48932
Buggenhout,1d02c74ec24f94180c5e3a8e91f0f798,25258.55222
Sint-Lievens-Houtem,50ae9e022764d4da6b91eacf307eda45,25254.61177
Merchtem,e22d2565aba3cd94f6b6c012957a05b0,25246.11409
Gammerages,06f7b5333798dcd51e9b51cc611af24f,25228.26417
Zwalin,92b687ef538fa313e812523eb7af9df8,25201.73715
