CD_YEAR,CD_MUNTY_REFNIS,MS_NBR_ELIGIBLE,MS_NBR_NOT_ELIGIBLE,MS_PERC_NOT_ELIGIBLE,MS_PERC_IOE_HH,MS_Q1,MS_MEDIAN,MS_Q3,MS_INT_QUART_DIFF,MS_ADMIN_AROP,TX_MUNTY_DESCR_NL,TX_MUNTY_DESCR_FR,TX_MUNTY_DESCR_EN,TX_MUNTY_DESCR_DE,CD_DSTR_REFNIS,TX_DSTR_DESCR_NL,TX_DSTR_DESCR_FR,TX_DSTR_DESCR_EN,TX_DSTR_DESCR_DE,CD_PROV_REFNIS,TX_PROV_DESCR_NL,TX_PROV_DESCR_FR,TX_PROV_DESCR_EN,TX_PROV_DESCR_DE,CD_RGN_REFNIS,TX_RGN_DESCR_NL,TX_RGN_DESCR_FR,TX_RGN_DESCR_EN,TX_RGN_DESCR_DE
2015,11001,14119,143,1,"0,1",18959,25455,33202,14243,"5,9",Aartselaar,Aartselaar,Aartselaar,Aartselaar,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,District of Antwerpen,Bezirk Antwerpen,10000,Provincie Antwerpen,Province d’Anvers,Province of Antwerp,Provinz Antwerpen,02000,Vlaams Gewest,Région flamande,Flemish region,Flämische Region
2015,11002,496754,19918,"3,9","0,1",13943,18825,25933,11990,21,Antwerpen,Anvers,Antwerpen,Antwerpen,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,District of Antwerpen,Bezirk Antwerpen,10000,Provincie Antwerpen,Province d’Anvers,Province of Antwerp,Provinz Antwerpen,02000,Vlaams Gewest,Région flamande,Flemish region,Flämische Region
2015,11004,12702,134,1,0,18521,25085,32350,13829,"7,1",Boechout,Boechout,Boechout,Boechout,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,District of Antwerpen,Bezirk Antwerpen,10000,Provincie Antwerpen,Province d’Anvers,Province of Antwerp,Provinz Antwerpen,02000,Vlaams Gewest,Région flamande,Flemish region,Flämische Region
2015,11005,17537,197,"1,1","0,2",16043,20758,27434,11391,"10,9",Boom,Boom,Boom,Boom,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,District of Antwerpen,Bezirk Antwerpen,10000,Provincie Antwerpen,Province d’Anvers,Province of Antwerp,Provinz Antwerpen,02000,Vlaams Gewest,Région flamande,Flemish region,Flämische Region
2015,11007,10419,116,"1,1","0,1",16782,22186,29009,12227,"9,2",Borsbeek,Borsbeek,Borsbeek,Borsbeek,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,District of Antwerpen,Bezirk Antwerpen,10000,Provincie Antwerpen,Province d’Anvers,Province of Antwerp,Provinz Antwerpen,02000,Vlaams Gewest,Région flamande,Flemish region,Flämische Region
2015,11008,36852,799,"2,1","0,1",17844,24159,32108,14264,"8,5",Brasschaat,Brasschaat,Brasschaat,Brasschaat,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,District of Antwerpen,Bezirk Antwerpen,10000,Provincie Antwerpen,Province d’Anvers,Province of Antwerp,Provinz Antwerpen,02000,Vlaams Gewest,Région flamande,Flemish region,Flämische Region
2015,11009,28253,270,"0,9","0,1",18681,24611,31297,12616,"6,2",Brecht,Brecht,Brecht,Brecht,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,District of Antwerpen,Bezirk Antwerpen,10000,Provincie Antwerpen,Province d’Anvers,Province of Antwerp,Provinz Antwerpen,02000,Vlaams Gewest,Région flamande,Flemish region,Flämische Region
2015,11013,21329,245,"1,1","0,1",18330,24813,32640,14309,"7,1",Edegem,Edegem,Edegem,Edegem,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,District of Antwerpen,Bezirk Antwerpen,10000,Provincie Antwerpen,Province d’Anvers,Province of Antwerp,Provinz Antwerpen,02000,Vlaams Gewest,Région flamande,Flemish region,Flämische Region
2015,11016,18322,290,"1,6","0,1",17283,23217,29813,12530,9,Essen,Essen,Essen,Essen,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,District of Antwerpen,Bezirk Antwerpen,10000,Provincie Antwerpen,Province d’Anvers,Province of Antwerp,Provinz Antwerpen,02000,Vlaams Gewest,Région flamande,Flemish region,Flämische Region
2015,11018,11068,80,"0,7",0,17625,23146,29422,11797,8,Hemiksem,Hemiksem,Hemiksem,Hemiksem,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,District of Antwerpen,Bezirk Antwerpen,10000,Provincie Antwerpen,Province d’Anvers,Province of Antwerp,Provinz Antwerpen,02000,Vlaams Gewest,Région flamande,Flemish region,Flämische Region
