refnis,localité,année,période,nombre transactions - maison,prix médian(€)-maison,prix premier quartile(€)-maison,prix troisième quartile(€)-maison,nombre transactions-appartement,prix médian(€)-appartement,prix premier quartile(€)-appartement,prix troisième quartile(€)-appartement,,,,0
11000,ARRONDISSEMENT D'ANVERS,2010,Q1,329,350498,260000,465000,1230,135000,105000,170000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2010,Q2,379,355000,272000,505000,1449,135000,105000,175000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2010,Q3,410,345000,268000,475000,1301,139000,110000,179500,,,,1
11000,ARRONDISSEMENT D'ANVERS,2010,Q4,336,360000,276051,500000,1340,135000,105000,180000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2011,Q1,332,350000,280000,500000,1315,143000,110000,183000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2011,Q2,373,370000,275000,515000,1544,145000,115000,185000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2011,Q3,390,350000,280000,460000,1372,146000,110000,189000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2011,Q4,401,350000,280000,478250,1504,149950,117500,189000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2012,Q1,317,360000,275000,472500,1175,142000,110000,182500,,,,1
11000,ARRONDISSEMENT D'ANVERS,2012,Q2,359,369000,280000,520000,1478,145000,115000,186000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2012,Q3,375,359000,285000,460000,1379,147000,115000,192500,,,,1
11000,ARRONDISSEMENT D'ANVERS,2012,Q4,407,360000,275000,490000,1497,150000,115000,195000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2013,Q1,335,360000,281250,500000,1337,150000,120000,190000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2013,Q2,362,360000,297000,500000,1356,152500,120000,200000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2013,Q3,375,370000,289297,478750,1456,155000,119000,200000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2013,Q4,405,351000,287000,483000,1335,152750,120000,200000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2014,Q1,305,370000,300000,493750,1270,155000,120000,205000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2014,Q2,438,350000,279000,460000,1483,155000,122000,200550,,,,1
11000,ARRONDISSEMENT D'ANVERS,2014,Q3,388,365000,294500,491250,1265,155000,121000,200000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2014,Q4,717,355500,299000,470000,2343,155000,124100,195000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2015,Q1,184,386250,270000,500000,897,155000,120000,215000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2015,Q2,373,363000,280000,482500,1433,155500,123500,200000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2015,Q3,458,365000,290000,477500,1403,155500,125000,205000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2015,Q4,472,370000,290000,480000,1534,155000,120000,205000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2016,Q1,357,365000,295000,480000,1321,155000,121500,202500,,,,1
11000,ARRONDISSEMENT D'ANVERS,2016,Q2,464,364167,295000,485000,1692,160000,125000,210000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2016,Q3,445,385000,300000,481000,1563,160000,128000,205000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2016,Q4,467,385000,300000,513803,1610,162500,129000,215000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2017,Q1,429,380000,300000,489000,1580,165000,130000,215000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2017,Q2,432,385000,310000,492000,1694,165000,130000,218000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2017,Q3,440,389500,307450,495000,1564,170000,133500,222000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2017,Q4,491,395000,312000,498000,1603,169000,130000,220500,,,,1
11000,ARRONDISSEMENT D'ANVERS,2018,Q1,417,389000,300000,510000,1532,167000,133000,220000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2018,Q2,401,383750,290000,500000,1695,170000,137750,230000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2018,Q3,546,406500,310500,530000,1712,175000,140000,225000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2018,Q4,569,395000,318000,507500,1901,178000,139500,230000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2019,Q1,440,410000,325000,529000,1762,180000,145000,233000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2019,Q2,488,400000,324000,530000,1908,182000,145000,240500,,,,1
11000,ARRONDISSEMENT D'ANVERS,2019,Q3,537,412500,325000,541500,1926,189000,150000,246000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2019,Q4,798,420000,330000,535000,2842,192000,155000,245000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2020,Q1,245,439000,315000,600000,1118,199000,150000,265000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2020,Q2,411,430000,343000,575000,1634,197375,159000,260000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2020,Q3,485,450000,345000,600000,1695,199000,160000,255000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2020,Q4,675,460000,362500,625000,2298,208000,165000,269000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2021,Q1,520,460000,350000,610000,1984,205750,165000,270000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2021,Q2,521,475000,365000,650000,2311,215000,170000,282000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2021,Q3,521,515000,385000,693000,2178,220000,175000,285000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2021,Q4,376,475000,350000,650251,1859,220000,169500,287000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2022,Q1,590,525000,400000,695000,2438,229000,180000,292360,,,,1
11000,ARRONDISSEMENT D'ANVERS,2022,Q2,457,518000,380000,725000,2245,230000,183000,295000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2022,Q3,451,545286,420000,715000,1889,235000,187000,297000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2022,Q4,542,500000,383000,695000,1990,240000,190000,300000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2023,Q1,396,522500,417000,712500,1635,239000,193000,299000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2023,Q2,388,500000,383500,700000,1880,239000,187500,300000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2023,Q3,420,539000,400000,698000,1769,240000,194000,310750,,,,1
11000,ARRONDISSEMENT D'ANVERS,2023,Q4,516,535500,399000,714286,1895,242250,192000,311000,,,,1
11000,ARRONDISSEMENT D'ANVERS,2024,Q1,349,528000,411000,725000,1560,240000,190000,310750,,,,1
11000,ARRONDISSEMENT D'ANVERS,2024,Q2,247,545000,390000,784900,1405,248000,199000,320000,,,,1
12000,ARRONDISSEMENT DE MALINES,2010,Q1,138,279500,210000,330000,127,148000,118000,195000,,,,2
12000,ARRONDISSEMENT DE MALINES,2010,Q2,172,272000,216000,357500,164,149000,118000,185000,,,,2
12000,ARRONDISSEMENT DE MALINES,2010,Q3,159,285000,230000,350000,143,160000,124500,192000,,,,2
12000,ARRONDISSEMENT DE MALINES,2010,Q4,163,296250,230000,356000,138,170000,135000,212500,,,,2
12000,ARRONDISSEMENT DE MALINES,2011,Q1,137,307000,250000,380000,155,167000,132500,215000,,,,2
12000,ARRONDISSEMENT DE MALINES,2011,Q2,171,295000,230000,360000,197,162500,130000,197250,,,,2
12000,ARRONDISSEMENT DE MALINES,2011,Q3,170,301500,225000,375000,167,162500,135000,204000,,,,2
12000,ARRONDISSEMENT DE MALINES,2011,Q4,167,297500,238000,370000,201,165000,135000,217500,,,,2
12000,ARRONDISSEMENT DE MALINES,2012,Q1,147,332500,255000,425000,155,175000,136000,220000,,,,2
12000,ARRONDISSEMENT DE MALINES,2012,Q2,182,298500,225000,380000,172,161750,129500,200000,,,,2
12000,ARRONDISSEMENT DE MALINES,2012,Q3,184,295658,235000,377500,149,172000,139250,217000,,,,2
12000,ARRONDISSEMENT DE MALINES,2012,Q4,204,300000,250000,400000,173,175000,133000,230000,,,,2
12000,ARRONDISSEMENT DE MALINES,2013,Q1,148,306000,250000,380000,183,170000,129000,222500,,,,2
12000,ARRONDISSEMENT DE MALINES,2013,Q2,162,315500,238500,392500,166,175000,138000,215000,,,,2
12000,ARRONDISSEMENT DE MALINES,2013,Q3,170,297000,227000,355000,177,175000,135000,220000,,,,2
12000,ARRONDISSEMENT DE MALINES,2013,Q4,165,286000,235000,350000,175,175000,135000,228000,,,,2
12000,ARRONDISSEMENT DE MALINES,2014,Q1,142,299500,245000,380000,180,168000,130000,210000,,,,2
12000,ARRONDISSEMENT DE MALINES,2014,Q2,154,305000,230000,386000,177,180000,147000,225000,,,,2
12000,ARRONDISSEMENT DE MALINES,2014,Q3,208,315750,250000,390000,152,180000,138750,240000,,,,2
12000,ARRONDISSEMENT DE MALINES,2014,Q4,300,301250,250000,374000,265,185000,150000,230000,,,,2
12000,ARRONDISSEMENT DE MALINES,2015,Q1,95,281750,240000,345000,129,180000,145000,230000,,,,2
12000,ARRONDISSEMENT DE MALINES,2015,Q2,160,297000,227500,397000,163,180000,143000,230000,,,,2
12000,ARRONDISSEMENT DE MALINES,2015,Q3,164,293000,215000,365000,171,188750,160000,249750,,,,2
12000,ARRONDISSEMENT DE MALINES,2015,Q4,199,305000,245000,375000,174,183000,149000,230000,,,,2
12000,ARRONDISSEMENT DE MALINES,2016,Q1,146,315000,234000,415000,161,176500,148000,237500,,,,2
12000,ARRONDISSEMENT DE MALINES,2016,Q2,184,319500,255000,389000,186,191000,150000,245000,,,,2
12000,ARRONDISSEMENT DE MALINES,2016,Q3,176,300000,249000,400000,171,187000,160000,235000,,,,2
12000,ARRONDISSEMENT DE MALINES,2016,Q4,190,315000,245000,410000,202,198000,160000,249000,,,,2
12000,ARRONDISSEMENT DE MALINES,2017,Q1,197,330000,250000,415000,218,205000,158000,250000,,,,2
12000,ARRONDISSEMENT DE MALINES,2017,Q2,186,310000,242500,387500,223,195000,150000,239000,,,,2
12000,ARRONDISSEMENT DE MALINES,2017,Q3,158,317500,249000,390000,168,189500,156402,230000,,,,2
12000,ARRONDISSEMENT DE MALINES,2017,Q4,220,318500,255000,410000,213,200000,155000,258500,,,,2
12000,ARRONDISSEMENT DE MALINES,2018,Q1,197,322000,250000,385000,229,200000,166000,245000,,,,2
12000,ARRONDISSEMENT DE MALINES,2018,Q2,168,317000,245000,395000,203,195000,169000,240000,,,,2
12000,ARRONDISSEMENT DE MALINES,2018,Q3,216,332500,263000,414000,217,197000,159800,247500,,,,2
12000,ARRONDISSEMENT DE MALINES,2018,Q4,234,330000,255000,420000,245,195000,160000,239000,,,,2
12000,ARRONDISSEMENT DE MALINES,2019,Q1,189,345000,285000,416000,205,205000,160000,250000,,,,2
12000,ARRONDISSEMENT DE MALINES,2019,Q2,190,350000,256500,430000,255,195000,165000,249000,,,,2
12000,ARRONDISSEMENT DE MALINES,2019,Q3,228,350000,270000,425000,246,211000,175000,253000,,,,2
12000,ARRONDISSEMENT DE MALINES,2019,Q4,375,350000,285000,440000,417,225370,180000,270000,,,,2
12000,ARRONDISSEMENT DE MALINES,2020,Q1,85,340000,240500,465000,193,238000,189000,285000,,,,2
12000,ARRONDISSEMENT DE MALINES,2020,Q2,170,350000,272000,455000,247,235000,190000,279248,,,,2
12000,ARRONDISSEMENT DE MALINES,2020,Q3,191,345000,280000,442500,239,225000,183000,270000,,,,2
12000,ARRONDISSEMENT DE MALINES,2020,Q4,305,378000,300000,469500,299,239000,190000,275000,,,,2
12000,ARRONDISSEMENT DE MALINES,2021,Q1,210,385000,310000,485000,286,225000,192000,269500,,,,2
12000,ARRONDISSEMENT DE MALINES,2021,Q2,234,380000,301000,510000,308,240000,190250,288400,,,,2
12000,ARRONDISSEMENT DE MALINES,2021,Q3,234,410000,330000,500000,333,239500,197000,289750,,,,2
12000,ARRONDISSEMENT DE MALINES,2021,Q4,152,412500,325000,500000,315,250000,207000,319900,,,,2
12000,ARRONDISSEMENT DE MALINES,2022,Q1,275,414500,330000,532500,334,245750,200000,303000,,,,2
12000,ARRONDISSEMENT DE MALINES,2022,Q2,224,434000,340000,530000,291,259500,220000,306000,,,,2
12000,ARRONDISSEMENT DE MALINES,2022,Q3,198,418500,340000,550500,303,260000,215000,300000,,,,2
12000,ARRONDISSEMENT DE MALINES,2022,Q4,257,430000,350000,575000,318,262250,215550,310313,,,,2
12000,ARRONDISSEMENT DE MALINES,2023,Q1,178,430000,330000,525000,288,267500,220000,324200,,,,2
12000,ARRONDISSEMENT DE MALINES,2023,Q2,201,425000,324750,558750,316,262500,210000,335000,,,,2
12000,ARRONDISSEMENT DE MALINES,2023,Q3,203,415000,330000,545000,305,285000,230000,365000,,,,2
12000,ARRONDISSEMENT DE MALINES,2023,Q4,255,425000,335000,560000,353,275000,215000,335000,,,,2
12000,ARRONDISSEMENT DE MALINES,2024,Q1,177,444000,348000,595000,314,260000,215000,317000,,,,2
12000,ARRONDISSEMENT DE MALINES,2024,Q2,213,450000,326000,540000,369,264000,216000,340000,,,,2
13000,ARRONDISSEMENT DE TURNHOUT,2010,Q1,370,235000,175000,310000,147,150000,125000,185000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2010,Q2,407,245000,185000,320000,132,150000,123200,180000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2010,Q3,394,247350,189000,312000,111,160000,135000,184500,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2010,Q4,372,249000,190000,320000,154,153750,128500,190000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2011,Q1,366,256000,185000,325000,151,155000,130000,194000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2011,Q2,431,255000,187500,330000,167,165000,132500,192000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2011,Q3,420,261250,204000,330000,149,162000,136000,198750,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2011,Q4,427,240000,185000,307500,180,165000,140000,215000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2012,Q1,280,255000,193500,301250,139,167500,139000,202000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2012,Q2,397,250000,195000,320000,188,172500,139000,208000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2012,Q3,376,258000,200000,340000,166,163000,130000,200000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2012,Q4,436,250000,185000,310000,204,174000,135000,210000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2013,Q1,363,250000,200000,313000,190,170000,140000,210000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2013,Q2,411,247500,200000,320000,187,174750,140000,211750,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2013,Q3,396,265000,201000,335000,162,170000,142000,202000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2013,Q4,434,248000,199000,315000,198,179500,150000,215000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2014,Q1,331,250000,185000,318000,171,175500,145000,209671,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2014,Q2,451,250750,200000,310000,185,179000,148000,203500,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2014,Q3,392,250000,195000,319000,178,170000,143750,210000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2014,Q4,823,255500,186500,323750,346,175000,145000,205000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2015,Q1,233,243500,164500,322500,126,180000,147000,225000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2015,Q2,414,266750,196500,328500,184,175000,149000,210000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2015,Q3,428,270000,197500,330000,161,178268,151478,220000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2015,Q4,515,265000,205000,335000,209,180000,143500,220000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2016,Q1,399,280000,215000,350000,162,180000,147000,220000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2016,Q2,480,269000,212500,337500,214,180000,149000,237000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2016,Q3,454,300000,225000,385000,163,193750,151250,232500,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2016,Q4,509,290000,205000,360000,244,180000,150000,227000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2017,Q1,405,265000,200000,335000,189,185000,150000,222500,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2017,Q2,522,280000,215000,350000,229,189000,153675,230000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2017,Q3,438,289000,210000,360000,158,186000,152000,222500,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2017,Q4,553,275750,210000,350000,221,186000,162000,234000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2018,Q1,473,285000,225000,355000,204,181750,155000,225000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2018,Q2,456,279000,219000,355000,228,180000,147000,224850,,,,3
