,Postal code,median-income,poverty-chance,district,commune,mean-income,refnis,house-median-price,apartment-median-price
0,1000,21862.0,"24,7",21000.0,Bruxelles,15307.69037,21000.0,1012500.0,257250.0
1,1020,21862.0,"24,7",21000.0,Bruxelles,15307.69037,21000.0,1012500.0,257250.0
2,1030,21726.0,"26,8",21000.0,Schaerbeek,14879.85062,21000.0,1012500.0,257250.0
3,1040,21862.0,"24,7",21000.0,Bruxelles,15307.69037,21000.0,1012500.0,257250.0
4,1040,27332.0,"18,2",21000.0,Etterbeek,17966.80593,21000.0,1012500.0,257250.0
5,1050,21862.0,"24,7",21000.0,Bruxelles,15307.69037,21000.0,1012500.0,257250.0
6,1050,27238.0,"18,4",21000.0,Ixelles,20468.59028,21000.0,1012500.0,257250.0
7,1060,22615.0,"24,6",21000.0,Saint-Gilles,16660.91026,21000.0,1012500.0,257250.0
8,1070,20512.0,"28,2",21000.0,Anderlecht,13525.56279,21000.0,1012500.0,257250.0
9,1080,19739.0,"31,5",21000.0,Molenbeek-Saint-Jean,12562.78318,21000.0,1012500.0,257250.0
10,1081,21141.0,"26,7",21000.0,Koekelberg,14522.47005,21000.0,1012500.0,257250.0
11,1082,23728.0,"19,3",21000.0,Berchem-Sainte-Agathe,17792.34645,21000.0,1012500.0,257250.0
12,1083,22706.0,"20,2",21000.0,Ganshoren,17208.97475,21000.0,1012500.0,257250.0
13,1090,23189.0,"20,3",21000.0,Jette,17175.58757,21000.0,1012500.0,257250.0
14,1120,21862.0,"24,7",21000.0,Bruxelles,15307.69037,21000.0,1012500.0,257250.0
15,1130,21862.0,"24,7",21000.0,Bruxelles,15307.69037,21000.0,1012500.0,257250.0
16,1140,23317.0,"19,7",21000.0,Evere,15910.97835,21000.0,1012500.0,257250.0
17,1150,34690.0,"9,3",21000.0,Woluwe-Saint-Pierre,24435.73197,21000.0,1012500.0,257250.0
18,1160,31185.0,"11,4",21000.0,Auderghem,22584.82525,21000.0,1012500.0,257250.0
19,1170,28060.0,"13,4",21000.0,Watermael-Boitsfort,23378.68099,21000.0,1012500.0,257250.0
20,1180,28800.0,"13,3",21000.0,Uccle,24117.42488,21000.0,1012500.0,257250.0
21,1190,23179.0,"21,6",21000.0,Forest,17586.20191,21000.0,1012500.0,257250.0
22,1200,30384.0,"12,6",21000.0,Woluwe-Saint-Lambert,20220.55155,21000.0,1012500.0,257250.0
23,1210,19288.0,34,21000.0,Saint-Josse-ten-Noode,11816.3655,21000.0,1012500.0,257250.0
24,1300,28318.0,"9,2",25000.0,Wavre,24309.03252,25000.0,460625.0,246375.0
25,1301,28318.0,"9,2",25000.0,Wavre,24309.03252,25000.0,460625.0,246375.0
26,1310,31116.0,"8,1",25000.0,La Hulpe,26969.28432,25000.0,460625.0,246375.0
27,1315,29935.0,"6,8",25000.0,Incourt,24594.34624,25000.0,460625.0,246375.0
28,1320,30721.0,"7,1",25000.0,Beauvechain,25965.72295,25000.0,460625.0,246375.0
29,1325,32179.0,"6,6",25000.0,Chaumont-Gistoux,28981.6981,25000.0,460625.0,246375.0
