Locality,Zip code,Property type,Price,Bedrooms,Living area,Surface of the plot,Facades,Building condition,Fireplace,Equipped kitchen,Garden,Garden surface,Terrace,Terrace surface,Furnished,Swimming pool,Province,Property,Region
Dendermonde,9230,House,740000,4.0,252.0,1481.0,4.0,To be done up,1,0,1,1292.0,1,40.0,0,0,Oost-Vlaanderen,House,Flanders
Antwerp,2610,House,289000,4.0,186.0,172.0,2.0,To renovate,0,0,1,90.0,0,0.0,0,0,Antwerp,House,Flanders
Kortrijk,8554,Country_Cottage,498000,2.0,170.0,852.0,3.0,Good,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Liège,4400,House,190000,2.0,115.0,2313.0,3.0,Good,1,1,1,2000.0,1,25.0,0,0,Liège,House,Wallonia
Arlon,6780,House,405000,3.0,130.0,241.0,2.0,Good,0,0,1,120.0,1,25.0,0,0,Luxembourg,House,Wallonia
Kortrijk,8530,Villa,379000,3.0,175.0,606.0,4.0,Good,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Neufchâteau,6800,House,145000,2.0,100.0,308.0,3.0,To renovate,0,0,1,100.0,1,15.0,0,0,Luxembourg,House,Wallonia
Liège,4032,House,199000,3.0,100.0,205.0,2.0,Good,0,1,1,40.0,1,50.0,0,0,Liège,House,Wallonia
Mechelen,2860,House,639000,4.0,195.0,342.0,2.0,Just renovated,0,1,1,75.0,1,15.0,0,0,Antwerp,House,Flanders
Aalst,9620,House,299000,2.0,123.0,170.0,2.0,As new,0,1,1,95.0,1,13.0,0,0,Oost-Vlaanderen,House,Flanders
Gent,9032,House,329000,1.0,250.0,196.0,3.0,To renovate,0,1,0,0.0,1,20.0,0,0,Oost-Vlaanderen,House,Flanders
Leuven,3191,House,363000,3.0,190.0,942.0,3.0,To renovate,0,0,1,682.0,1,27.0,0,0,Vlaams-Brabant,House,Flanders
Antwerp,2100,House,309900,3.0,120.0,185.0,2.0,To renovate,1,0,1,110.0,1,9.0,0,0,Antwerp,House,Flanders
Halle-Vilvoorde,1780,Apartment_Block,669900,6.0,220.0,268.0,2.0,Just renovated,0,0,1,100.0,1,6.0,0,0,Vlaams-Brabant,Other,Flanders
Oudenaarde,9700,House,275000,7.0,231.0,170.0,2.0,Good,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Antwerp,2660,House,295000,5.0,145.0,277.0,2.0,Good,0,1,1,176.0,1,20.0,0,0,Antwerp,House,Flanders
Gent,9041,House,425000,4.0,194.0,480.0,4.0,To be done up,0,0,1,361.0,1,20.0,0,0,Oost-Vlaanderen,House,Flanders
Antwerp,2140,House,450000,3.0,215.0,140.0,3.0,To be done up,1,1,1,75.0,1,5.0,0,0,Antwerp,House,Flanders
Oudenaarde,9600,House,380000,3.0,150.0,604.0,3.0,Good,0,1,1,360.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Oudenaarde,9600,House,229000,4.0,136.0,307.0,3.0,As new,0,1,1,215.0,1,15.0,0,0,Oost-Vlaanderen,House,Flanders
Nivelles,1410,House,345000,3.0,137.0,488.0,3.0,To renovate,0,0,1,488.0,0,0.0,0,0,Brabant Wallon,House,Wallonia
Antwerp,2140,Apartment_Block,359900,3.0,156.0,84.0,2.0,To renovate,0,0,1,11.0,0,0.0,0,0,Antwerp,Other,Flanders
Gent,9030,House,620000,4.0,265.0,629.0,3.0,Good,0,1,1,478.0,1,30.0,0,0,Oost-Vlaanderen,House,Flanders
Kortrijk,8500,House,164500,3.0,120.0,94.0,2.0,Good,0,1,1,40.0,1,20.0,0,0,West-Vlaanderen,House,Flanders
Gent,9860,House,199000,3.0,204.0,553.0,3.0,To be done up,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Liège,4140,House,215000,2.0,164.0,1300.0,3.0,Good,0,0,1,1127.0,1,30.0,0,0,Liège,House,Wallonia
Antwerp,2660,House,359000,3.0,148.0,136.0,3.0,As new,0,1,1,39.0,1,22.0,0,0,Antwerp,House,Flanders
Waremme,4300,Mixed_Use_Building,250000,2.0,411.0,376.0,2.0,Good,0,1,0,0.0,0,0.0,0,0,Liège,Other,Wallonia
Gent,9031,House,275000,4.0,117.0,407.0,4.0,To renovate,0,0,1,407.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Brussels,1070,House,399000,3.0,185.0,180.0,2.0,To renovate,0,1,1,100.0,1,48.0,0,0,Brussels,House,Brussels
Aalst,9500,Mixed_Use_Building,299999,3.0,167.0,1050.0,2.0,Good,0,1,1,895.0,0,0.0,0,0,Oost-Vlaanderen,Other,Flanders
Brussels,1180,House,595000,4.0,171.0,110.0,2.0,Good,0,1,1,30.0,1,15.0,0,0,Brussels,House,Brussels
Turnhout,2200,Villa,649000,3.0,332.0,1090.0,4.0,Good,1,1,0,0.0,0,0.0,0,0,Antwerp,House,Flanders
Liège,4020,House,199000,3.0,102.0,66.0,2.0,As new,0,1,1,65.0,1,19.0,0,0,Liège,House,Wallonia
Liège,4400,House,265000,3.0,135.0,145.0,2.0,As new,0,0,1,50.0,1,10.0,1,0,Liège,House,Wallonia
Brussels,1030,Apartment_Block,375000,5.0,200.0,100.0,2.0,To be done up,0,0,1,30.0,1,10.0,0,0,Brussels,Other,Brussels
Ath,7812,Mansion,499000,5.0,321.0,891.0,4.0,Good,0,1,1,515.0,1,40.0,0,1,Hainaut,House,Wallonia
Oudenaarde,9600,Mansion,695000,5.0,428.0,1919.0,4.0,As new,0,1,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Leuven,3010,House,299000,3.0,204.0,193.0,,To renovate,0,0,0,0.0,0,0.0,0,0,Vlaams-Brabant,House,Flanders
Oudenaarde,9600,House,315000,3.0,195.0,393.0,,Good,0,0,1,320.0,1,20.0,0,0,Oost-Vlaanderen,House,Flanders
Mechelen,2570,House,345000,4.0,160.0,175.0,2.0,Good,0,0,0,0.0,1,10.0,0,0,Antwerp,House,Flanders
Gent,9050,House,365000,2.0,145.0,123.0,,To be done up,0,1,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
